subscription_id,customer_id,plan,mrr,status,auto_renew,start_date
SUB-0001,CUST-0001,Pro,199.0,Active,True,2025-05-06
SUB-0002,CUST-0002,Starter,49.0,Active,True,2025-10-10
SUB-0003,CUST-0003,Starter,49.0,Active,True,2025-05-07
SUB-0004,CUST-0004,Enterprise,799.0,Active,False,2025-09-01
SUB-0005,CUST-0005,Pro,199.0,Active,True,2025-09-04
SUB-0006,CUST-0006,Enterprise,799.0,Canceled,False,2025-10-26
SUB-0007,CUST-0007,Enterprise,799.0,Active,True,2025-03-18
SUB-0008,CUST-0008,Enterprise,799.0,Active,True,2025-04-08
SUB-0009,CUST-0009,Enterprise,799.0,Active,True,2025-06-21
SUB-0010,CUST-0010,Enterprise,799.0,Active,True,2025-05-08
SUB-0011,CUST-0011,Enterprise,799.0,Canceled,False,2025-05-27
SUB-0012,CUST-0012,Pro,199.0,Active,True,2025-07-27
SUB-0013,CUST-0013,Starter,49.0,Active,True,2025-01-11
SUB-0014,CUST-0014,Enterprise,799.0,Active,True,2025-06-24
SUB-0015,CUST-0015,Starter,49.0,Active,True,2025-02-14
SUB-0016,CUST-0016,Pro,199.0,Active,True,2025-04-29
SUB-0017,CUST-0017,Starter,49.0,Active,True,2025-10-21
SUB-0018,CUST-0018,Starter,49.0,Active,True,2025-10-10
SUB-0019,CUST-0019,Enterprise,799.0,Active,True,2025-10-19
SUB-0020,CUST-0020,Pro,199.0,Active,False,2025-05-28
SUB-0021,CUST-0021,Pro,199.0,Active,True,2025-08-01
SUB-0022,CUST-0022,Pro,199.0,Active,True,2025-06-23
SUB-0023,CUST-0023,Enterprise,799.0,Active,True,2025-06-03
SUB-0024,CUST-0024,Starter,49.0,Active,False,2025-07-23
SUB-0025,CUST-0025,Pro,199.0,Active,True,2025-05-05
SUB-0026,CUST-0026,Pro,199.0,Active,True,2025-09-20
SUB-0027,CUST-0027,Pro,199.0,Canceled,False,2025-07-15
SUB-0028,CUST-0028,Starter,49.0,Active,False,2025-03-15
SUB-0029,CUST-0029,Enterprise,799.0,Active,True,2025-07-01
SUB-0030,CUST-0030,Starter,49.0,Active,True,2025-08-12
SUB-0031,CUST-0031,Enterprise,799.0,Canceled,False,2025-02-16
SUB-0032,CUST-0032,Enterprise,799.0,Active,True,2025-09-27
SUB-0033,CUST-0033,Pro,199.0,Active,True,2025-04-10
SUB-0034,CUST-0034,Pro,199.0,Active,False,2025-03-13
SUB-0035,CUST-0035,Pro,199.0,Active,True,2025-04-14
SUB-0036,CUST-0036,Enterprise,799.0,Active,False,2025-08-14
SUB-0037,CUST-0037,Starter,49.0,Active,True,2025-10-21
SUB-0038,CUST-0038,Enterprise,799.0,Active,True,2025-08-16
SUB-0039,CUST-0039,Pro,199.0,Active,True,2025-09-03
SUB-0040,CUST-0040,Pro,199.0,Active,True,2025-08-26
SUB-0041,CUST-0041,Starter,49.0,Active,False,2025-10-26
SUB-0042,CUST-0042,Pro,199.0,Canceled,False,2025-03-25
SUB-0043,CUST-0043,Pro,199.0,Active,False,2025-05-16
SUB-0044,CUST-0044,Starter,49.0,Active,False,2025-01-19
SUB-0045,CUST-0045,Pro,199.0,Active,True,2025-05-01
SUB-0046,CUST-0046,Pro,199.0,Active,True,2025-07-11
SUB-0047,CUST-0047,Enterprise,799.0,Active,True,2025-10-04
SUB-0048,CUST-0048,Enterprise,799.0,Active,True,2025-01-25
SUB-0049,CUST-0049,Enterprise,799.0,Active,True,2025-08-31
SUB-0050,CUST-0050,Pro,199.0,Active,True,2025-05-05
SUB-0051,CUST-0051,Pro,199.0,Active,True,2025-09-09
SUB-0052,CUST-0052,Pro,199.0,Active,False,2025-07-13
SUB-0053,CUST-0053,Enterprise,799.0,Active,True,2025-06-01
SUB-0054,CUST-0054,Starter,49.0,Active,True,2025-05-18
SUB-0055,CUST-0055,Starter,49.0,Active,True,2025-10-16
SUB-0056,CUST-0056,Pro,199.0,Active,True,2025-02-24
SUB-0057,CUST-0057,Pro,199.0,Active,True,2025-08-22
SUB-0058,CUST-0058,Enterprise,799.0,Active,True,2025-04-06
SUB-0059,CUST-0059,Starter,49.0,Canceled,False,2025-04-10
SUB-0060,CUST-0060,Starter,49.0,Active,True,2025-10-19
SUB-0061,CUST-0061,Enterprise,799.0,Active,True,2025-07-03
SUB-0062,CUST-0062,Starter,49.0,Active,True,2025-08-08
SUB-0063,CUST-0063,Starter,49.0,Active,True,2025-02-22
SUB-0064,CUST-0064,Enterprise,799.0,Active,True,2025-02-06
SUB-0065,CUST-0065,Pro,199.0,Active,True,2025-05-20
SUB-0066,CUST-0066,Enterprise,799.0,Active,True,2025-06-27
SUB-0067,CUST-0067,Enterprise,799.0,Active,True,2025-07-31
SUB-0068,CUST-0068,Enterprise,799.0,Active,False,2025-06-03
SUB-0069,CUST-0069,Starter,49.0,Active,True,2025-05-21
SUB-0070,CUST-0070,Starter,49.0,Active,True,2025-05-17
SUB-0071,CUST-0071,Enterprise,799.0,Active,True,2025-01-17
SUB-0072,CUST-0072,Pro,199.0,Canceled,False,2025-06-29
SUB-0073,CUST-0073,Pro,199.0,Active,True,2025-04-26
SUB-0074,CUST-0074,Enterprise,799.0,Active,True,2025-02-04
SUB-0075,CUST-0075,Starter,49.0,Canceled,False,2025-05-22
SUB-0076,CUST-0076,Pro,199.0,Active,True,2025-08-17
SUB-0077,CUST-0077,Pro,199.0,Active,False,2025-06-28
SUB-0078,CUST-0078,Starter,49.0,Canceled,False,2025-06-07
SUB-0079,CUST-0079,Pro,199.0,Active,True,2025-06-09
SUB-0080,CUST-0080,Starter,49.0,Active,True,2025-09-16
SUB-0081,CUST-0081,Enterprise,799.0,Canceled,False,2025-03-02
SUB-0082,CUST-0082,Enterprise,799.0,Active,True,2025-03-29
SUB-0083,CUST-0083,Enterprise,799.0,Active,True,2025-04-25
SUB-0084,CUST-0084,Enterprise,799.0,Active,True,2025-04-16
SUB-0085,CUST-0085,Enterprise,799.0,Canceled,False,2025-06-14
SUB-0086,CUST-0086,Starter,49.0,Active,True,2025-05-09
SUB-0087,CUST-0087,Starter,49.0,Active,True,2025-06-12
SUB-0088,CUST-0088,Starter,49.0,Active,True,2025-01-28
SUB-0089,CUST-0089,Enterprise,799.0,Active,True,2025-01-16
SUB-0090,CUST-0090,Pro,199.0,Active,True,2025-05-07
SUB-0091,CUST-0091,Starter,49.0,Active,False,2025-07-07
SUB-0092,CUST-0092,Starter,49.0,Active,True,2025-09-14
SUB-0093,CUST-0093,Starter,49.0,Active,True,2025-03-27
SUB-0094,CUST-0094,Enterprise,799.0,Active,True,2025-08-09
SUB-0095,CUST-0095,Pro,199.0,Active,True,2025-08-11
SUB-0096,CUST-0096,Enterprise,799.0,Active,True,2025-01-01
SUB-0097,CUST-0097,Enterprise,799.0,Canceled,False,2025-05-09
SUB-0098,CUST-0098,Pro,199.0,Active,True,2025-09-09
SUB-0099,CUST-0099,Enterprise,799.0,Active,True,2025-06-25
SUB-0100,CUST-0100,Enterprise,799.0,Active,False,2025-04-12
SUB-0101,CUST-0101,Pro,199.0,Active,False,2025-06-16
SUB-0102,CUST-0102,Starter,49.0,Active,True,2025-04-04
SUB-0103,CUST-0103,Starter,49.0,Active,True,2025-03-16
SUB-0104,CUST-0104,Enterprise,799.0,Canceled,False,2025-02-18
SUB-0105,CUST-0105,Enterprise,799.0,Active,True,2025-03-24
SUB-0106,CUST-0106,Enterprise,799.0,Active,False,2025-09-12
SUB-0107,CUST-0107,Pro,199.0,Active,True,2025-08-09
SUB-0108,CUST-0108,Enterprise,799.0,Active,True,2025-06-03
SUB-0109,CUST-0109,Enterprise,799.0,Active,True,2025-01-22
SUB-0110,CUST-0110,Pro,199.0,Active,True,2025-08-15
SUB-0111,CUST-0111,Enterprise,799.0,Active,True,2025-09-27
SUB-0112,CUST-0112,Enterprise,799.0,Active,True,2025-02-20
SUB-0113,CUST-0113,Starter,49.0,Active,True,2025-10-25
SUB-0114,CUST-0114,Starter,49.0,Active,True,2025-07-14
SUB-0115,CUST-0115,Enterprise,799.0,Active,True,2025-07-16
SUB-0116,CUST-0116,Starter,49.0,Active,True,2025-06-03
SUB-0117,CUST-0117,Enterprise,799.0,Active,True,2025-04-19
SUB-0118,CUST-0118,Enterprise,799.0,Canceled,False,2025-09-03
SUB-0119,CUST-0119,Starter,49.0,Active,True,2025-04-16
SUB-0120,CUST-0120,Starter,49.0,Active,True,2025-04-09
SUB-0121,CUST-0121,Pro,199.0,Active,True,2025-10-18
SUB-0122,CUST-0122,Enterprise,799.0,Canceled,False,2025-02-22
SUB-0123,CUST-0123,Enterprise,799.0,Active,True,2025-06-05
SUB-0124,CUST-0124,Starter,49.0,Active,True,2025-04-06
SUB-0125,CUST-0125,Pro,199.0,Active,True,2025-01-14
SUB-0126,CUST-0126,Pro,199.0,Active,False,2025-09-01
SUB-0127,CUST-0127,Pro,199.0,Active,True,2025-06-20
SUB-0128,CUST-0128,Starter,49.0,Canceled,False,2025-02-06
SUB-0129,CUST-0129,Starter,49.0,Active,True,2025-07-16
SUB-0130,CUST-0130,Enterprise,799.0,Active,True,2025-03-14
SUB-0131,CUST-0131,Pro,199.0,Active,True,2025-05-03
SUB-0132,CUST-0132,Pro,199.0,Active,False,2025-06-21
SUB-0133,CUST-0133,Enterprise,799.0,Active,True,2025-04-28
SUB-0134,CUST-0134,Enterprise,799.0,Active,True,2025-07-21
SUB-0135,CUST-0135,Enterprise,799.0,Active,True,2025-04-18
SUB-0136,CUST-0136,Starter,49.0,Active,True,2025-05-31
SUB-0137,CUST-0137,Starter,49.0,Active,True,2025-06-12
SUB-0138,CUST-0138,Enterprise,799.0,Canceled,False,2025-02-14
SUB-0139,CUST-0139,Pro,199.0,Canceled,False,2025-06-03
SUB-0140,CUST-0140,Starter,49.0,Active,True,2025-02-22
SUB-0141,CUST-0141,Starter,49.0,Active,True,2025-02-25
SUB-0142,CUST-0142,Starter,49.0,Active,True,2025-03-16
SUB-0143,CUST-0143,Pro,199.0,Canceled,False,2025-03-01
SUB-0144,CUST-0144,Starter,49.0,Active,True,2025-01-16
SUB-0145,CUST-0145,Starter,49.0,Active,False,2025-08-09
SUB-0146,CUST-0146,Enterprise,799.0,Active,False,2025-03-22
SUB-0147,CUST-0147,Pro,199.0,Active,True,2025-05-16
SUB-0148,CUST-0148,Pro,199.0,Active,True,2025-08-10
SUB-0149,CUST-0149,Pro,199.0,Active,True,2025-02-02
SUB-0150,CUST-0150,Starter,49.0,Active,True,2025-07-21
SUB-0151,CUST-0151,Enterprise,799.0,Active,True,2025-03-08
SUB-0152,CUST-0152,Pro,199.0,Active,False,2025-05-15
SUB-0153,CUST-0153,Pro,199.0,Active,True,2025-03-28
SUB-0154,CUST-0154,Enterprise,799.0,Active,True,2025-03-04
SUB-0155,CUST-0155,Enterprise,799.0,Active,True,2025-02-19
SUB-0156,CUST-0156,Enterprise,799.0,Active,True,2025-01-09
SUB-0157,CUST-0157,Starter,49.0,Active,True,2025-01-07
SUB-0158,CUST-0158,Starter,49.0,Active,False,2025-08-19
SUB-0159,CUST-0159,Starter,49.0,Active,True,2025-05-28
SUB-0160,CUST-0160,Starter,49.0,Active,True,2025-02-02
SUB-0161,CUST-0161,Enterprise,799.0,Active,True,2025-05-06
SUB-0162,CUST-0162,Pro,199.0,Active,False,2025-10-11
SUB-0163,CUST-0163,Enterprise,799.0,Active,True,2025-01-03
SUB-0164,CUST-0164,Enterprise,799.0,Canceled,False,2025-03-20
SUB-0165,CUST-0165,Enterprise,799.0,Active,True,2025-08-20
SUB-0166,CUST-0166,Starter,49.0,Active,True,2025-08-01
SUB-0167,CUST-0167,Pro,199.0,Active,True,2025-04-03
SUB-0168,CUST-0168,Enterprise,799.0,Active,True,2025-07-17
SUB-0169,CUST-0169,Starter,49.0,Active,True,2025-07-11
SUB-0170,CUST-0170,Pro,199.0,Active,True,2025-07-03
SUB-0171,CUST-0171,Pro,199.0,Active,False,2025-03-04
SUB-0172,CUST-0172,Enterprise,799.0,Canceled,False,2025-01-06
SUB-0173,CUST-0173,Starter,49.0,Canceled,False,2025-04-25
SUB-0174,CUST-0174,Enterprise,799.0,Active,False,2025-03-12
SUB-0175,CUST-0175,Pro,199.0,Active,True,2025-08-31
SUB-0176,CUST-0176,Enterprise,799.0,Canceled,False,2025-02-10
SUB-0177,CUST-0177,Enterprise,799.0,Active,True,2025-08-02
SUB-0178,CUST-0178,Enterprise,799.0,Active,True,2025-08-20
SUB-0179,CUST-0179,Starter,49.0,Active,True,2025-01-04
SUB-0180,CUST-0180,Pro,199.0,Active,True,2025-10-03
SUB-0181,CUST-0181,Enterprise,799.0,Active,True,2025-02-21
SUB-0182,CUST-0182,Starter,49.0,Active,False,2025-01-09
SUB-0183,CUST-0183,Enterprise,799.0,Active,True,2025-04-30
SUB-0184,CUST-0184,Pro,199.0,Canceled,False,2025-02-10
SUB-0185,CUST-0185,Starter,49.0,Active,True,2025-03-05
SUB-0186,CUST-0186,Pro,199.0,Active,True,2025-04-18
SUB-0187,CUST-0187,Enterprise,799.0,Active,False,2025-05-17
SUB-0188,CUST-0188,Starter,49.0,Active,True,2025-08-17
SUB-0189,CUST-0189,Enterprise,799.0,Active,True,2025-02-03
SUB-0190,CUST-0190,Enterprise,799.0,Active,True,2025-09-02
SUB-0191,CUST-0191,Pro,199.0,Active,True,2025-08-23
SUB-0192,CUST-0192,Pro,199.0,Active,False,2025-03-18
SUB-0193,CUST-0193,Pro,199.0,Active,True,2025-06-10
SUB-0194,CUST-0194,Starter,49.0,Active,True,2025-10-23
SUB-0195,CUST-0195,Enterprise,799.0,Active,True,2025-06-06
SUB-0196,CUST-0196,Starter,49.0,Active,False,2025-09-03
SUB-0197,CUST-0197,Starter,49.0,Active,True,2025-03-21
SUB-0198,CUST-0198,Starter,49.0,Canceled,False,2025-06-26
SUB-0199,CUST-0199,Starter,49.0,Canceled,False,2025-05-10
SUB-0200,CUST-0200,Enterprise,799.0,Active,True,2025-02-01
SUB-0201,CUST-0201,Starter,49.0,Canceled,False,2025-01-01
