transaction_id,customer_id,transaction_date,amount,day_of_week,hour,week_num
1,101,2025-01-15 14:30:45,150.5,Wednesday,14,3
2,102,2025-01-15 16:45:00,200.0,Wednesday,16,3
3,101,2025-01-20 09:15:20,50.25,Monday,9,4
4,103,2025-01-22 18:30:00,300.0,Wednesday,18,4
5,102,2025-02-05 11:00:00,120.75,Wednesday,11,6
6,104,2025-02-10 14:30:00,45.0,Monday,14,7
7,101,2025-02-15 10:15:30,80.0,Saturday,10,7
8,103,2025-03-01 19:45:10,210.5,Saturday,19,9
9,105,2025-03-10 08:30:00,95.0,Monday,8,11
10,105,2025-03-12 15:20:00,110.0,Wednesday,15,11
