customer_id,name,segment,order_id,amount,order_date
1,Customer_1,Enterprise,38.0,215.62,2025-01-02 13:00:00
1,Customer_1,Enterprise,207.0,343.02,2025-01-09 14:00:00
1,Customer_1,Enterprise,1123.0,104.09,2025-02-16 18:00:00
1,Customer_1,Enterprise,1185.0,164.61,2025-02-19 08:00:00
1,Customer_1,Enterprise,2297.0,85.17,2025-04-06 16:00:00
1,Customer_1,Enterprise,2515.0,389.58,2025-04-15 18:00:00
1,Customer_1,Enterprise,2849.0,441.84,2025-04-29 16:00:00
1,Customer_1,Enterprise,3510.0,336.23,2025-05-27 05:00:00
1,Customer_1,Enterprise,4611.0,455.68,2025-07-12 02:00:00
2,Customer_2,B2B,931.0,490.82,2025-02-08 18:00:00
2,Customer_2,B2B,1057.0,70.49,2025-02-14 00:00:00
2,Customer_2,B2B,1298.0,373.76,2025-02-24 01:00:00
2,Customer_2,B2B,4576.0,489.22,2025-07-10 15:00:00
3,Customer_3,Enterprise,596.0,209.61,2025-01-25 19:00:00
3,Customer_3,Enterprise,659.0,488.51,2025-01-28 10:00:00
3,Customer_3,Enterprise,1244.0,239.59,2025-02-21 19:00:00
3,Customer_3,Enterprise,3050.0,240.7,2025-05-08 01:00:00
3,Customer_3,Enterprise,3235.0,142.47,2025-05-15 18:00:00
3,Customer_3,Enterprise,3847.0,148.45,2025-06-10 06:00:00
3,Customer_3,Enterprise,4061.0,108.17,2025-06-19 04:00:00
4,Customer_4,Enterprise,13.0,315.15,2025-01-01 12:00:00
4,Customer_4,Enterprise,386.0,49.29,2025-01-17 01:00:00
4,Customer_4,Enterprise,3419.0,330.58,2025-05-23 10:00:00
5,Customer_5,B2B,87.0,186.93,2025-01-04 14:00:00
5,Customer_5,B2B,3208.0,146.29,2025-05-14 15:00:00
5,Customer_5,B2B,4722.0,218.25,2025-07-16 17:00:00
5,Customer_5,B2B,4788.0,256.58,2025-07-19 11:00:00
5,Customer_5,B2B,4876.0,207.74,2025-07-23 03:00:00
6,Customer_6,B2B,8.0,333.16,2025-01-01 07:00:00
6,Customer_6,B2B,3891.0,119.31,2025-06-12 02:00:00
6,Customer_6,B2B,4522.0,111.35,2025-07-08 09:00:00
6,Customer_6,B2B,4661.0,142.29,2025-07-14 04:00:00
6,Customer_6,B2B,4870.0,337.41,2025-07-22 21:00:00
7,Customer_7,Enterprise,332.0,40.4,2025-01-14 19:00:00
7,Customer_7,Enterprise,733.0,242.98,2025-01-31 12:00:00
7,Customer_7,Enterprise,805.0,117.62,2025-02-03 12:00:00
7,Customer_7,Enterprise,966.0,443.01,2025-02-10 05:00:00
7,Customer_7,Enterprise,1526.0,107.56,2025-03-05 13:00:00
7,Customer_7,Enterprise,2631.0,173.71,2025-04-20 14:00:00
7,Customer_7,Enterprise,3721.0,230.51,2025-06-05 00:00:00
7,Customer_7,Enterprise,3989.0,203.44,2025-06-16 04:00:00
8,Customer_8,B2C,304.0,406.86,2025-01-13 15:00:00
8,Customer_8,B2C,1160.0,220.28,2025-02-18 07:00:00
8,Customer_8,B2C,1715.0,100.28,2025-03-13 10:00:00
8,Customer_8,B2C,2178.0,427.75,2025-04-01 17:00:00
8,Customer_8,B2C,2417.0,92.44,2025-04-11 16:00:00
8,Customer_8,B2C,3285.0,467.65,2025-05-17 20:00:00
8,Customer_8,B2C,4337.0,133.39,2025-06-30 16:00:00
8,Customer_8,B2C,4842.0,338.97,2025-07-21 17:00:00
9,Customer_9,Enterprise,949.0,302.27,2025-02-09 12:00:00
10,Customer_10,Enterprise,48.0,29.73,2025-01-02 23:00:00
10,Customer_10,Enterprise,1085.0,436.13,2025-02-15 04:00:00
10,Customer_10,Enterprise,1334.0,50.78,2025-02-25 13:00:00
10,Customer_10,Enterprise,1697.0,439.79,2025-03-12 16:00:00
10,Customer_10,Enterprise,1880.0,90.23,2025-03-20 07:00:00
10,Customer_10,Enterprise,2929.0,303.52,2025-05-03 00:00:00
10,Customer_10,Enterprise,3323.0,68.68,2025-05-19 10:00:00
10,Customer_10,Enterprise,3487.0,338.11,2025-05-26 06:00:00
10,Customer_10,Enterprise,4719.0,307.19,2025-07-16 14:00:00
11,Customer_11,Enterprise,166.0,39.37,2025-01-07 21:00:00
11,Customer_11,Enterprise,435.0,275.15,2025-01-19 02:00:00
11,Customer_11,Enterprise,619.0,49.97,2025-01-26 18:00:00
11,Customer_11,Enterprise,907.0,348.71,2025-02-07 18:00:00
11,Customer_11,Enterprise,3944.0,317.36,2025-06-14 07:00:00
11,Customer_11,Enterprise,4426.0,378.96,2025-07-04 09:00:00
12,Customer_12,Enterprise,494.0,324.49,2025-01-21 13:00:00
12,Customer_12,Enterprise,978.0,156.01,2025-02-10 17:00:00
