ticket_id,customer_id,created_at,resolved_at,category,resolution_status,escalated,satisfaction_score,monthly_spend,churn_flag,resolution_hours,churn_risk_score,churn_risk_category
TICK-1001,CUST-501,2025-01-10 08:30:00,2025-01-10 12:45:00,Billing,RESOLVED,False,4.0,120.5,0,4.25,0.0,LOW
TICK-1002,CUST-502,2025-01-11 09:15:00,2025-01-13 14:20:00,Technical,RESOLVED,True,1.0,450.0,1,53.083333333333336,75.0,HIGH
TICK-1003,CUST-503,2025-01-12 10:00:00,,Account Access,PENDING,True,3.0,85.0,1,-1.0,55.0,MEDIUM
TICK-1004,CUST-504,2025-01-12 11:30:00,2025-01-12 11:50:00,General,RESOLVED,False,5.0,29.99,0,0.3333333333333333,0.0,LOW
TICK-1005,CUST-505,2025-01-13 14:00:00,2025-01-15 18:30:00,Technical,RESOLVED,True,2.0,299.0,1,52.5,75.0,HIGH
TICK-1006,CUST-501,2025-01-14 15:20:00,2025-01-14 16:10:00,Billing,RESOLVED,False,4.0,120.5,0,0.8333333333333334,0.0,LOW
TICK-1007,CUST-506,2025-01-15 16:45:00,,Cancellation,UNRESOLVED,True,1.0,599.0,1,-1.0,100.0,HIGH
TICK-1008,CUST-507,2025-01-16 09:00:00,2025-01-16 10:30:00,Feature Request,RESOLVED,False,3.0,150.0,0,1.5,0.0,LOW
TICK-1009,CUST-508,2025-01-17 11:10:00,2025-01-19 12:00:00,Billing,RESOLVED,True,2.0,350.0,1,48.833333333333336,75.0,HIGH
TICK-1010,CUST-509,2025-01-18 13:25:00,2025-01-18 14:00:00,General,RESOLVED,False,5.0,49.0,0,0.5833333333333334,0.0,LOW
