customer_id,age,salary,purchase_amount,working_hours,is_customer_id_outlier,is_age_outlier,is_salary_outlier,is_purchase_amount_outlier,is_working_hours_outlier
1001,34,55000.0,150.5,40,0,0,0,0,0
1002,45,78000.0,420.0,45,0,0,0,0,0
1003,150,92000.0,120.75,38,0,1,0,0,0
1004,28,45000.0,95000.0,40,0,0,0,1,0
1005,60,110000.0,310.2,42,0,0,0,0,0
1006,22,2500000.0,85.0,35,0,0,1,0,0
1007,39,81000.0,520.4,168,0,0,0,0,1
1008,51,95000.0,600.0,40,0,0,0,0,0
1009,25,48000.0,75.25,0,0,0,0,0,1
1010,42,85000.0,240.0,45,0,0,0,0,0
