column_name,data_type,description,business_meaning,example_value,related_kpi,notes
customer_id,integer,Unique identifier for customer,Customer ID in CRM system,12456,Customer tracking,Primary key - never null
trnx_amt,float,Transaction amount in USD,Revenue per transaction,150.99,Monthly revenue,Amount paid by customer in dollars
purchase_date,datetime,Date transaction occurred,When sale was completed,2025-01-15,Sales velocity,UTC timezone - never null
cust_segment,string,Customer classification,Business segment (B2B/B2C/SMB),B2B,Segment profitability,Updated monthly from CRM
flag_churn,integer,Churn indicator (0/1),Whether customer left within 90 days,0,Churn rate prediction,Target variable for retention models
ticket_id,string,Unique support ticket identifier,Ticket tracking ID in Zendesk/Support system,TICK-1001,Support ticket volume,Primary key for support dataset - never null
created_at,datetime,Timestamp when support ticket was submitted,Initial customer contact time,2025-01-10 08:30:00,First response time & ticket volume,UTC timezone - formatted YYYY-MM-DD HH:MM:SS
resolved_at,datetime,Timestamp when support ticket was resolved,Ticket resolution completion time,2025-01-10 12:45:00,Mean Time To Resolution (MTTR),Null for pending or unresolved tickets
category,string,Classification topic of support ticket,Customer issue type (Billing/Technical/Account Access),Billing,Category issue distribution,Used for routing tickets to specialized teams
resolution_status,string,Current state of support ticket,Resolution state (RESOLVED/UNRESOLVED/PENDING),RESOLVED,Resolution rate,Categorical status indicator
escalated,boolean,Ticket escalation flag (True/False),Whether ticket required Tier 2/Manager escalation,False,Support escalation rate,Boolean indicator (0/1 or True/False)
satisfaction_score,float,Customer CSAT rating score (1.0 - 5.0),Post-ticket customer satisfaction rating,4.0,CSAT (Customer Satisfaction Score),Imputed with median if null
monthly_spend,float,Customer monthly recurring spend in USD,Account monthly revenue / MRR,120.50,Monthly Recurring Revenue (MRR),Non-negative dollar amount
churn_risk_score,float,Engineered risk score (0 - 100),Composite metric for predicted churn likelihood,75.0,High risk customer count,Calculated from escalation CSAT and resolution status
churn_risk_category,string,Risk tier label (LOW/MEDIUM/HIGH),Categorical churn risk classification,HIGH,At-risk customer distribution,Segmented based on risk score thresholds
resolution_hours,float,Elapsed time to resolve ticket in hours,Support turnaround time in hours,4.25,Mean Time To Resolution (MTTR),Calculated from created_at and resolved_at
