2026-08-04 13:19:47 | INFO     | __main__ | Loading dataset from data/raw/customers.csv...
2026-08-04 13:19:47 | INFO     | dataset_profiling.profiler.null_profiler | Starting Null Profiling...
2026-08-04 13:20:13 | INFO     | __main__ | Loading dataset from data/raw/customers.csv...
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.null_profiler | Starting Null Profiling...
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.null_profiler | Null Profiling completed. Found 0 columns with missing values.
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.duplicate_profiler | Starting Duplicate Profiling...
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.duplicate_profiler | Duplicate Profiling completed. Found 0 duplicate rows.
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.numerical_profiler | Starting Numerical Profiling...
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.numerical_profiler | Numerical Profiling completed. Profiled 1 numerical columns.
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.categorical_profiler | Starting Categorical Profiling...
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.categorical_profiler | Categorical Profiling completed. Profiled 3 categorical columns.
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.datatype_profiler | Starting Data Type Profiling...
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.datatype_profiler | Data Type Profiling completed. Found 1 suspicious columns.
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.quality_assessor | Starting Quality Assessment...
2026-08-04 13:20:13 | INFO     | dataset_profiling.profiler.quality_assessor | Quality Assessment completed. Health Score: 98
2026-08-04 13:20:13 | INFO     | __main__ | Profiling completed successfully. Report saved to dataset_profiling\reports\profile_report.json
2026-08-04 13:20:13 | ERROR    | __main__ | Failed to write report to JSON: 'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
2026-08-04 13:20:33 | INFO     | __main__ | Loading dataset from data/raw/customers.csv...
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.null_profiler | Starting Null Profiling...
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.null_profiler | Null Profiling completed. Found 0 columns with missing values.
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.duplicate_profiler | Starting Duplicate Profiling...
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.duplicate_profiler | Duplicate Profiling completed. Found 0 duplicate rows.
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.numerical_profiler | Starting Numerical Profiling...
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.numerical_profiler | Numerical Profiling completed. Profiled 1 numerical columns.
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.categorical_profiler | Starting Categorical Profiling...
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.categorical_profiler | Categorical Profiling completed. Profiled 3 categorical columns.
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.datatype_profiler | Starting Data Type Profiling...
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.datatype_profiler | Data Type Profiling completed. Found 1 suspicious columns.
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.quality_assessor | Starting Quality Assessment...
2026-08-04 13:20:33 | INFO     | dataset_profiling.profiler.quality_assessor | Quality Assessment completed. Health Score: 98
2026-08-04 13:20:33 | INFO     | __main__ | Profiling completed successfully. Report saved to dataset_profiling\reports\profile_report.json
